NOME;VULNERABILIDADE;LOCALIZA??O;UHS MAPEADAS;TIPOLOGIA;TIPO ASSENTAMENTO;ANO OCUPA??O DOCUMENTADO;ANO OCUPA??O ENTREVISTA;ZONEAMENTO;GRAVAMES JUDICIAIS;INTERVEN??O - PROGRAMA;UNIDADES CADASTRADAS;INTERVER??O - ESTAGIO;MANANCIAL;FEI??O MORFOLOGICA;
JARDIM VALE DO SOL;BAIXA;B. BATISTINI;55;5;Loteamento Irregular;1994;1993;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
SITIO BOM JESUS;ALTA;B. DOS ALVARENGA;null;6;Favela;1985;1985;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;751;AÁıes em andamento;SIM ;null;
REPRESA BARALDI;MUITO ALTA;B.MONTANH√ø¬øO;null;4;Favela;null;1990;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;36;AÁıes em andamento;SIM ;MORRO BAIXO;
JARDIM VIDA NOVA;BAIXA;B. DOS ALVARENGA;269;5;Loteamento Irregular;null;1993;MMS / ARA 1;ACP 2099/97;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL;
JARDIM IPE;MUITO ALTA;B. DOS CASA;null;6;Favela;null;1978;MURE / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;797;AÁıes em andamento;SIM ;null;
JARDIM SATELITE;NENHUMA;B. COOPERATIVA;null;1;Loteamento Irregular;1991;1999;MUC / ZUD 1;ACP 3190/02;Sem previs„o de atendimento neste PPA;196;REGULARIZADO;NAO ;COLINA;
JARDIM SILVINA AUDI;MUITO ALTA;B. MONTANH√øO;null;6;Favela Parcialmente Urbanizada;null;1978;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios/ ReduÁ„o de Risco e AÁıes Emergenciais;3110;AÁıes em andamento;NAO ;MORRO ALTO;
R. CEARA MIRIM / PQ. IMIGRANTES;M…DIA;PQ. IMIGRANTES              ;null;6;Favela;1989;1947;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;51;AÁıes em andamento;SIM ;MORRO BAIXO;
CONJUNTO HABITACIONAL VL. ESPERANCA 1a ETAPA;BAIXA;B. MONTANH√ø¬øO;null;3;Favela;null;null;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;80;AÁıes em andamento;null;null;
CONJUNTO HABITACIONAL TRANSMISSAO MERCEDES;BAIXA;B. PAULIC√ø¬øIA;null;3;Conjunto Habitacional Irregular;null;null;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;128;AÁıes em andamento;null;null;
ESTRADA COOPERATIVA I e II;MUITO BAIXA;B. ALVES DIAS ;22;1;Favela Urbanizada;null;1960;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;AÁıes em andamento;NAO ;COLINA;
RUA CARMEM MIRANDA/JD. REPRESA;M…DIA;JD. REPRESA               ;null;6;Favela;null;1980;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;26;AÁıes em andamento;SIM ;COLINA;
CASAS FORTALEZA;M…DIA;B. DOS ALVARENGA;107;6;Favela;1996;null;MMS / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM ALVORADA;M…DIA;B. DOS CASA;111;5;Loteamento Irregular;1991;1990;MURE / ARA 1;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
ESTRADA DO MONTANHAO;M…DIA;B. MONTANH√ø¬ø√ø¬øO;1944;6;Favela;null;1988;MUC / ZUD 1;Nada consta;Sem previs„o de atendimento neste PPA;null;PMRR: Recursos Contratados;NAO ;MORRO ALTO;
PARQUE SAO BERNARDO;MUITO ALTA;B. MONTANH√ø¬øO;null;6;Favela Parcialmente Urbanizada;null;1968;MUC / ZUD 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;2164;AÁıes em andamento;NAO ;null;
EST. GALVAO BUENO, 8.254/ JD. REPRESA;M…DIA;JD. REPRESA               ;null;6;Favela;null;1970;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;57;AÁıes em andamento;SIM ;MARGEM DE CORREGO;
VICTOR BRECHERET/JD. REPRESA;MUITO ALTA;JD. REPRESA               ;null;6;Favela;1989;1954;MMS / ARA 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;817;AÁıes em andamento;SIM ;MORRO BAIXO;
ASSOCIACAO PRO MORADIA SONHO REAL;BAIXA;B. DOS FINCO;80;5;Loteamento Irregular;1993;1990;MMS / ARA 1;ACP 637/99;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
SHIMIT CANAL;M…DIA;B. RIO PEQUENO;24;4;Favela;null;1953;MPA / ARO ;Nada consta;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;PLANICIE ALUVIAL/ MARGEM DE CORREGO/ MORRO BAIXO;
RUA NAVAL;MUITO ALTA;B. PAULICEIA;207;4;Favela;null;null;MUC / ZER 1;Nada consta;UrbanizaÁ„o e RegularizaÁ„o de Assentamentos Prec·rios;null;REGULARIZADO;NAO ;null;
VILA VITORIA;M…DIA;B. DOS CASA;589;5;Loteamento Irregular;1989;1989;MURE / ARA 1;ACP 1064/93;Sem previs„o de atendimento neste PPA;null;Sem previs„o de atendimento neste PPA;SIM ;MORRO BAIXO;
JARDIM NOVO HORIZONTE/FERRAZOPOLIS;M…DIA;B. FERRAZOPOLIS;null;1;Loteamento Irregular;1992;1996;MUC / ZUD 1;Nada consta;RegularizaÁ„o Fundi·ria;184;REGULARIZADO;NAO ;MORROTE;
BIQUINHA;MUITO ALTA;B. MONTANH√øO;459;6;Favela;null;1980;MUC / ZUD 1;Nada consta;ReduÁ„o de Risco e AÁıes Emergenciais;null;AÁıes em andamento;NAO ;MORRO ALTO;
